county,enrollment,dtp,polio,mmr,hepb,vari
ALAMEDA,21910,21527,21602,21611,21584,21787
ALPINE,6,,,,,
AMADOR,290,283,285,285,282,287
BUTTE,2814,2709,2735,2721,2720,2762
CALAVERAS,462,422,436,428,440,441
COLUSA,411,401,404,403,403,405
CONTRA COSTA,15434,15131,15166,15174,15230,15294
DEL NORTE,401,377,382,388,394,399
EL DORADO,2205,2106,2112,2119,2120,2140
FRESNO,18779,18354,18463,18496,18581,18657
GLENN,481,471,475,472,475,478
HUMBOLDT,1799,1629,1631,1647,1631,1678
IMPERIAL,3254,3201,3205,3197,3235,3235
INYO,212,205,205,206,206,208
KERN,16497,15870,16024,15994,16061,16185
KINGS,2731,2671,2709,2713,2714,2722
LAKE,840,819,826,821,824,827
LASSEN,357,328,331,330,336,340
LOS ANGELES,140269,135762,136262,136087,137675,138585
MADERA,2835,2746,2762,2766,2783,2800
MARIN,3245,3114,3107,3129,3085,3150
MARIPOSA,19,,,,,
MENDOCINO,1195,1103,1101,1113,1142,1168
MERCED,5618,5518,5549,5554,5575,5578
MODOC,130,103,110,111,114,116
MONO,139,134,134,134,131,134
MONTEREY,7221,7109,7121,7115,7128,7148
NAPA,1702,1652,1653,1659,1655,1665
NEVADA,944,811,810,815,804,829
ORANGE,42389,41118,41256,41204,41499,41768
PLACER,5847,5525,5539,5550,5577,5657
PLUMAS,166,154,154,152,157,159
RIVERSIDE,36132,35207,35410,35417,35545,35782
SACRAMENTO,21993,20968,21153,21165,21340,21563
SAN BENITO,967,957,960,953,959,960
SAN BERNARDINO,34471,33519,33739,33724,33898,34123
SAN DIEGO,46044,44180,44341,44418,44418,44801
SAN FRANCISCO,6742,6542,6552,6543,6566,6630
SAN JOAQUIN,12572,12299,12357,12362,12422,12455
SAN LUIS OBISPO,3154,3059,3054,3074,3070,3096
SAN MATEO,9608,9396,9445,9423,9469,9550
SANTA BARBARA,6674,6523,6538,6537,6520,6587
SANTA CLARA,26070,25596,25692,25637,25730,25848
SANTA CRUZ,3681,3446,3431,3441,3425,3514
SHASTA,2386,2244,2262,2263,2282,2295
SIERRA,23,23,22,22,23,22
SISKIYOU,520,482,487,486,506,488
SOLANO,5919,5764,5807,5806,5830,5871
SONOMA,6669,6378,6360,6382,6358,6462
STANISLAUS,9166,8965,9004,9009,9046,9099
SUTTER,1995,1738,1757,1741,1763,1783
TEHAMA,1024,992,973,991,1000,978
TRINITY,144,133,136,139,138,141
TULARE,9243,9130,9165,9159,9178,9201
TUOLUMNE,570,519,520,518,523,528
VENTURA,12247,11926,11941,11956,11972,12052
YOLO,2830,2766,2771,2773,2763,2793
YUBA,1478,1436,1446,1453,1450,1461
